Dezaemon DD (Japan) (Proto)>Dezaemon DD (Japan) (Proto)>1998>Other - NR (Not Rated)>Athena>>Miscellaneous
Doshin the Giant (Japan)>Doshin the Giant (Japan)>1999>Other - NR (Not Rated)>Nintendo>>Simulation
Doshin the Giant (Japan) (Demo)>Doshin the Giant (Japan) (Demo)>1999>Other - NR (Not Rated)>Nintendo>>Simulation
Doshin the Giant Tinkling Toddler Liberation Front! Assemble (Japan)>Doshin the Giant Tinkling Toddler Liberation Front! Assemble (Japan)>2000>Other - NR (Not Rated)>Nintendo>>Simulation
F-Zero X Expansion Kit (Japan) (Translated En)>F-Zero X Expansion Kit (Japan) (Translated En)>2000>Other - NR (Not Rated)>Nintendo>>Driving
Japan Pro Golf Tour 64 (Japan)>Japan Pro Golf Tour 64 (Japan)>2000>Other - NR (Not Rated)>Seta>>Sports/Golf
Mario Artist Communication Kit (Japan)>Mario Artist Communication Kit (Japan)>2000>Other - NR (Not Rated)>Nintendo>>Multimedia
Mario Artist Paint Studio (Japan)>Mario Artist Paint Studio (Japan)>1999>Other - NR (Not Rated)>Nintendo>>Multimedia
Mario Artist Polygon Studio (Japan)>Mario Artist Polygon Studio (Japan)>2000>Other - NR (Not Rated)>Nintendo>>Multimedia
Mario Artist Talent Studio (Japan)>Mario Artist Talent Studio (Japan)>2000>Other - NR (Not Rated)>Nintendo>>Multimedia
Sim City 64 (Japan)>Sim City 64 (Japan)>2000>Other - NR (Not Rated)>Nintendo>>Simulation
Super Mario 64 (Japan) (Proto)>Super Mario 64 (Japan) (Proto)>19??>Other - NR (Not Rated)>Nintendo>>Platform
