Anchorz Field (Japan)>Anchorz Field (Japan)>1999>Other - NR (Not Rated)>Sammy Studios>>Strategy
SD Gundam - Emotional Jam (Japan)>SD Gundam - Emotional Jam (Japan)>1999>Other - NR (Not Rated)>Bandai>>Strategy
SD Gundam G-Generation - Gather Beat (Japan)>SD Gundam G-Generation - Gather Beat (Japan)>2000>Other - NR (Not Rated)>Bandai>>Strategy
SD Gundam Gashapon Senki - Episode 1 (Japan)>SD Gundam Gashapon Senki - Episode 1 (Japan)>1999>Other - NR (Not Rated)>Bandai>>Strategy
Senkaiden - TV Animation Senkaiden Houshin Engi Yori (Japan)>Senkaiden - TV Animation Senkaiden Houshin Engi Yori (Japan)>2000>Other - NR (Not Rated)>Bandai>>Role-Playing
Sennou Millennium (Japan)>Sennou Millennium (Japan)>2000>Other - NR (Not Rated)>Bandai>>Puzzle
Shanghai Pocket (Japan)>Shanghai Pocket (Japan)>1999>Other - NR (Not Rated)>SunSoft>>Puzzle
Shin Nihon Pro Wrestling - Toukon Retsuden (Japan)>Shin Nihon Pro Wrestling - Toukon Retsuden (Japan)>1999>Other - NR (Not Rated)>Tomy Corporation>>Sports/Wrestling
Shougi Touryuumon (Japan)>Shougi Touryuumon (Japan)>1999>Other - NR (Not Rated)>Sammy Studios>>Board Games
Side Pocket for WonderSwan (Japan)>Side Pocket for WonderSwan (Japan)>1999>Other - NR (Not Rated)>Data East>>Sports/Pool
Slither Link (Japan)>Slither Link (Japan)>2000>Other - NR (Not Rated)>Bandai>>Puzzle
Soccer Yarou! - Challenge the World (Japan)>Soccer Yarou! - Challenge the World (Japan)>1999>Other - NR (Not Rated)>Coconuts Japan>>Sports/Soccer
Sotsugyou for WonderSwan (Japan)>Sotsugyou for WonderSwan (Japan)>1999>Other - NR (Not Rated)>Bandai>>Strategy
Space Invaders (Japan)>Space Invaders (Japan)>1999>Other - NR (Not Rated)>SunSoft>>Shooter
Super Robot Taisen Compact (Japan)>Super Robot Taisen Compact (Japan)>1999>Other - NR (Not Rated)>Banpresto>>Strategy
Super Robot Taisen Compact 2 - Dai-1-bu - Chijou Gekidou Hen (Japan)>Super Robot Taisen Compact 2 - Dai-1-bu - Chijou Gekidou Hen (Japan)>2000>Other - NR (Not Rated)>Banpresto>>Strategy
Super Robot Taisen Compact 2 - Dai-2-bu - Uchuu Gekishin Hen (Japan)>Super Robot Taisen Compact 2 - Dai-2-bu - Uchuu Gekishin Hen (Japan)>2000>Other - NR (Not Rated)>Banpresto>>Strategy
Super Robot Taisen Compact 2 - Dai-3-bu - Ginga Kessen Hen (Japan)>Super Robot Taisen Compact 2 - Dai-3-bu - Ginga Kessen Hen (Japan)>2001>Other - NR (Not Rated)>Banpresto>>Strategy
Taikyoku Igo - Heisei Kiin (Japan)>Taikyoku Igo - Heisei Kiin (Japan)>2000>Other - NR (Not Rated)>Kaga Tech>>Board Games
Tanjou Debut for WonderSwan (Japan)>Tanjou Debut for WonderSwan (Japan)>2000>Other - NR (Not Rated)>Bandai>>Strategy
Tare Panda no GunPey (Japan)>Tare Panda no GunPey (Japan)>1999>Other - NR (Not Rated)>Bandai>>Puzzle
Tekken Card Challenge (Japan)>Tekken Card Challenge (Japan)>1999>Other - NR (Not Rated)>Bandai>>Card Battle
Terrors (Japan)>Terrors (Japan)>1999>Other - NR (Not Rated)>Bandai>>Adventure
Tetsujin 28 Gou (Japan)>Tetsujin 28 Gou (Japan)>1999>Other - NR (Not Rated)>MegaHouse>>Adventure
Time Bokan Series - Bokan Densetsu - Butamo Odaterya Doronbou (Japan)>Time Bokan Series - Bokan Densetsu - Butamo Odaterya Doronbou (Japan)>2000>Other - NR (Not Rated)>Banpresto>>Role-Playing
Tokyo Majin Gakuen - Fuju Houroku (Japan)>Tokyo Majin Gakuen - Fuju Houroku (Japan)>2000>Other - NR (Not Rated)>Asmik Ace Entertainment, Inc, >>Role-Playing
Trump Collection - Bottom-Up Teki Trump Seikatsu (Japan)>Trump Collection - Bottom-Up Teki Trump Seikatsu (Japan)>1999>Other - NR (Not Rated)>Bottom Up>>Board Games
Trump Collection 2 - Bottom-Up Teki Sekaiisshuu no Tabi (Japan)>Trump Collection 2 - Bottom-Up Teki Sekaiisshuu no Tabi (Japan)>2000>Other - NR (Not Rated)>Bottom Up>>Board Games
Turntablist - DJ Battle (Japan)>Turntablist - DJ Battle (Japan)>1999>Other - NR (Not Rated)>Bandai>>Rhythm
Umizuri ni Ikou! (Japan)>Umizuri ni Ikou! (Japan)>1999>Other - NR (Not Rated)>Coconuts Japan>>Sports/Fishing
Uzumaki - Denshi Kaiki Hen (Japan)>Uzumaki - Denshi Kaiki Hen (Japan)>2000>Other - NR (Not Rated)>Omega Micott>>Action
Vaitz Blade (Japan)>Vaitz Blade (Japan)>1999>Other - NR (Not Rated)>Bandai>>Role-Playing
Wasabi Produce - Street Dancer (Japan)>Wasabi Produce - Street Dancer (Japan)>2000>Other - NR (Not Rated)>Bandai>>Rhythm
Wonder Stadium '99 (Japan)>Wonder Stadium '99 (Japan)>1999>Other - NR (Not Rated)>Bandai>>Sports/Baseball
Wonder Stadium (Japan)>Wonder Stadium (Japan)>1999>Other - NR (Not Rated)>Bandai>>Sports/Baseball
WonderSwan Handy Sonar (Japan)>WonderSwan Handy Sonar (Japan)>1999>Other - NR (Not Rated)>Bandai>>Sports/Fishing
